text,label
Coba deh cek berita mengenai fakta kriminalisasi Hanifah Husein di link berikut,negatif
"RT tegakkan hukum seadil-adilnya, jangan ada permainan hukum. stop kriminalisasi Hanifah Husein",positif
Berharap segera terusut tuntas dalang kriminalisasi Hanifah Husein,positif
"RT Ceeek berita ini, fakta kriminalisasi Hanifah Husein ",negatif
RT Dugaan pihak ketiga sebagai dalang kriminalisasi Hanifah Hussein,positif
RT Sumpah sedih banget baru tau kalo hu Hanifah  Husein d Kriminalisasi,positif
"RT tegakkan hukum seadil-adilnya, jangan ada permainan hukum. stop kriminalisasi Hanifah Husein!",positif
RT Netizen wajib tahu ternyata ada dugaan pihak ketiga dibalik kriminalisasi Hanifah Husein,positif
Coba deh cek berita mengenai fakta kriminalisasi Hanifah Husein di link berikut,negatif
RT Semoga ibunya diberi kekuatan untuk menjalani semuanya,netral
Sosok Iwan Bomba adalah pihak yang patut diduga sebagai dalang kriminalisasi Hanifah Husein.,netral
Parah sih pihak ketiga hrs dihukum seadilnya kan pada ngerti hukum tuh,positif
RT Musti diusut tuntas pokoknya dalang dibalik kriminalisasi Hanifah Husein,positif
RT Dugaan pihak ketiga sebagai dalang kriminalisasi Hanifah Hussein,positif
RT jahat bgt ga sihh kasus kriminalisasi ini,netral
Kapan ya hukum di Indonesia adil Kalo kaya gini cacat hukum namanya,netral
Sosok Iwan Bomba adalah pihak yang patut diduga sebagai dalang kriminalisasi Hanifah Husein.,positif
"RT Ceeek berita ini, fakta kriminalisasi Hanifah Husein",negatif
Semoga bisa diusut tuntas dan orang-orang yang jahat segera mendapat ganjarannya ya buk,positif
Sosok Iwan Bomba adalah pihak yang patut diduga sebagai dalang kriminalisasi Hanifah Husein.,positif
Sosok Iwan Bomba adalah pihak yang patut diduga sebagai dalang kriminalisasi Hanifah Husein.,positif
RT Sumpah sedih banget baru tau kalo hu Hanifah  Husein di Kriminalisasi,netral
"RT Ceeek berita ini, fakta kriminalisasi Hanifah Husein",negatif
Sosok Iwan Bomba adalah pihak yang patut diduga sebagai dalang kriminalisasi Hanifah Husein.,positif
"RT tegakkan hukum seadil-adilnya, jangan ada permainan hukum. stop kriminalisasi Hanifah Husein",positif
Viral dulu baru diusut tuntas,negatif
Sosok Iwan Bomba adalah pihak yang patut diduga sebagai dalang kriminalisasi Hanifah Husein.,positif
Sosok Iwan Bomba adalah pihak yang patut diduga sebagai dalang kriminalisasi Hanifah Husein.,positif
Cacat hukum,negatif
Bongkar kasus kriminalisasi Hanifah Husein. Cek berita ini ,negatif
Sosok Iwan Bomba adalah pihak yang patut diduga sebagai dalang kriminalisasi Hanifah Husein.,positif
"Mana nih alumni HMI dan Kohati, masa diem aja seniornya dikriminalisasi sama Polri",negatif
"RT Ceeek berita ini, fakta kriminalisasi Hanifah Husein",negatif
"RT tegakkan hukum seadil-adilnya, jangan ada permainan hukum. stop kriminalisasi Hanifah Husein",positif
Tengok beritanya disini deh biar tau mana yang bener,negatif
Usut tuntas siapa dalangnya,positif
Kok bisa ya masih ada kriminalisasi di Badan Indonesia ini,negatif
"Yg salah siapa, yg dihukum siapa! Stop kriminalisasi Hanifah Husein.",positif
"RT Tindak tegas siapapun itu dalam tindakan diskriminasi, sekalipun itu di institusi polri",positif
Seliweran kasusnya dari kemarin semoga bisa diusut tuntas,positif
RT jahat bgt ga sihh kasus kriminalisasi ini ,negatif
Harus yang adil dong,positif
Tindakan polri ini cacat hukum dan juga sampai ada keterlibatan pihak ketiga dalam kasus ini,positif
RT Musti diusut tuntas pokoknya dalang dibalik kriminalisasi Hanifah Husein,positif
Polisi cuma mau urus kasus yang viral ajaaa hahaa. Kasian hanifah husein jadi korban kriminalisasi,positif
"RT Tindak tegas siapapun itu dalam tindakan diskriminasi, sekalipun itu di institusi polri",positif
"Cari kesalahan terus, padahal udah dikasih bukti. Ini namanya kriminaliasi, ini nyata bro Viralkan",positif
"Yuk baca cerita ini,dan usut tuntas tikus-tikus jahat",negatif
"RT kurang ajar masih aja suka cari kesalahan, bukti nyata kriminalisasi Hanifah Husein ",positif
"Trending Indonesia - 13 Desember 2022 10:30 WIB
1. SafeFlightOurAstronaut
2. UntilWeMeetAgainJin
3. kriminalisasihanifahhusein
4. WeLoveYouJin
5. HUANG RENJUN THANK YOU
6. Keramas
7. Loyal
8. Independent
9. Passionate",netral
"Tren Topik Indonesia - 13 Desember 2022 10:30 WIB
1. SafeFlightOurAstronaut
2. UntilWeMeetAgainJin
3. kriminalisasihanifahhusein
4. WeLoveYouJin",netral
RT astagfirullah ini kasus apaan lagi kok kayaknya banyak bgt kasus kriminalisasi org ga bersalah kayak gini,positif
Jangan-jangan ada Sambo kedua ya ini di Bareskrim Polri Stop Kriminalisasi Hanifah Husein. ,positif
Tindakan polri ini cacat hukum dan juga sampai ada keterlibatan pihak ketiga dalam kasus kriminalisasi hanifah husein,positif
"RT kurang ajar masih aja suka cari kesalahan, bukti nyata kriminalisasi Hanifah Husein ",positif
"RT Mengapa harus ada kriminalisasi, semoga segera bisa diselesaikan",positif
RT Gaskeun yukk Usut tuntas dalang kriminalisasi Hanifah Husein,positif
"Sumpah jahat banget deh, baru tahu ternyata bu Hanifah Husein beneran di kriminalisasi. ",positif
RT Semoga ibunya diberi kekuatan untuk menjalani semuanya,positif
RT Yukkk kitaa Bongkar tikus tikus jahat pelaku kriminalisasi Hanifah Husein,positif
"RT Ceeek berita ini, fakta kriminalisasi Hanifah Husein",negatif
Ini harus di usut sih dar dalang kriminalisasi Hanifah Husein,positif
RT Netizen wajib tahu ternyata ada dugaan pihak ketiga dibalik kriminalisasi Hanifah Husein,positif
"tegesi dong yang begini, tikus berkeliaran nih",negatif
RT Dugaan pihak ketiga sebagai dalang kriminalisasi Hanifah Hussein,negatif
"RT Sumpah sedih banget baru tau kalo hu Hanifah  Husein d Kriminalisasi
",positif
"RT tegakkan hukum seadil-adilnya, jangan ada permainan hukum. stop kriminalisasi Hanifah Husein!",positif
"RT Ceeek berita ini, fakta kriminalisasi Hanifah Husein",negatif
RT Sumpah sedih banget baru tau kalo Bu Hanifah  Husein di Kriminalisasi,positif
"RT tegakkan hukum seadil-adilnya, jangan ada permainan hukum. stop kriminalisasi Hanifah Husein",positif
baca kronologi nya di sini,negatif
RT Dugaan pihak ketiga sebagai dalang kriminalisasi Hanifah Hussein,negatif
ternyata ada oknum penyidik dan pihak ketiga yang berusaha untuk kriminalisasi,positif
Ada penyidik yang suka cari kesalahan nih bahkan sampai kriminalisasi Hanifah Husein loh guys,positif
"Kasian banget , jahat loh ini yang udah lakukan ini sama Bu Hanifah Husein",positif
hah sekarang masi ada diskriminasi? ayoo stopp diskriminasi istri Ferry mursyiddan Baldan,positif
"Keadilah di negeri konoha itu kacau, viral dulu baru adil",negatif
RT Dugaan pihak ketiga sebagai dalang kriminalisasi Hanifah Hussein,positif
"RT Ceeek berita ini, fakta kriminalisasi Hanifah Husein",negatif
mohon segera selesai ini,positif
Usut tuntas dalang kriminalisasi Hanifah Husein,positif
gaskeun lah bongkar para tikus jahat pelaku kriminalisasi Hanifah Husein,positif
jangan kriminalisasi Hanifah Husein,negatif
"RT Sumpah sedih banget baru tau kalo hu Hanifah  Husein d Kriminalisasi
",positif
"Ternyata masih ada kriminalisasi yang dilakukan ke Ibu Hanifah Husein, yg kyk gini harus diusut tuntas sih",positif
"RT Tindak tegas siapapun itu dalam tindakan diskriminasi, sekalipun itu di institusi polri",positif
RT Dugaan pihak ketiga sebagai dalang kriminalisasi Hanifah Hussein,positif
"Warga twitter coba baca kasus ini dan viralkan. Ini udh trmasuk cacat hukum, oknum lg yg berulah. Tp, pihak ketiga gak boleh dilupain, hukum.",positif
ayo dah bongkar kasus kriminalisasi Hanifah Husein ini,positif
Duhh ada apa ini kok rame pada bahas bongkar kasus Kriminalisasi,netral
adanya korporasi pihak ketiga yg di duga dalamg kriminalisasi hanifah husein. Kenapa masih ada kriminalisasi nig.. Aduh jahat bgt,positif
baru tahu dan kaget banget dong ternyata bu Hanifah Husein beneran di kriminalisasi. Harus terus di usut nih,positif
"RT Ceeek berita ini, fakta kriminalisasi Hanifah Husein",negatif
RT Sumpah sedih banget baru tau kalo hu Hanifah  Husein d Kriminalisasi,positif
"Walah ternyata ada dalangnya tah dibalik semua ini, ya harus ditangkap dengan segera sih",positif
"penyidik kok malah nyari kesalahan, jangan kriminalisasi Hanifah Husein",positif
"Aku mau tanya,Mana nih alumni HMI dan Kohati, masa diem aja seniornya dikriminalisasi sama Polri",positif
"RT Mengapa harus ada kriminalisasi, semoga segera bisa diselesaikan",positif
RT Gaskeun yukk Usut tuntas dalang kriminalisasi Hanifah Husein,positif
RT Yukkk kitaa Bongkar tikus tikus jahat pelaku kriminalisasi Hanifah Husein,positif
"RT kurang ajar masih aja suka cari kesalahan, bukti nyata kriminalisasi Hanifah Husein ",positif
Tegakkan hukum seadil adilnya yaa,positif
RT Dugaan pihak ketiga sebagai dalang kriminalisasi Hanifah Hussein,negatif
"RT Gabisaa dibiarin ini sih udah kurang ajar bgt!!!!Mana nih alumni HMI dan Kohati, masa diem aja seniornya!Bongkar tikus tikus jahat!Duh Pak Jokowi, tolong segera diberantas segera masih ada Kriminalisasi nih di Bareskrim Polri ",negatif
RT astagfirullah ini kasus apaan lagi. kok kayaknya banyak bgt kasus kriminalisasi org ga bersalah kayak gini,negatif
"RT Ya Allah ini jelas2 ada kriminalisasi thd Hanifah Husein, tolong lah bekerja dgn seadil adilnya. Usut tuntas",positif
RT Sumpah sedih banget baru tau kalo hu Hanifah  Husein d Kriminalisasi,positif
Harus di tegakan seadil-adilnya! Kalo kaya gini namanya cacat hukum,positif
"Kok jadi ada pihak ketiga gini ya
Memang ini mau memojokkan dan kriminalisasi kah ",positif
Harus di usut tuntas dalang kriminalisasi Hanifah Husain ,positif
"RT tegakkan hukum seadil-adilnya, jangan ada permainan hukum. stop kriminalisasi Hanifah Husein",positif
tega banget ada yang memperlakukan Bu Hanifah Husein seperti ini,positif
"RT Tindak tegas siapapun itu dalam tindakan diskriminasi, sekalipun itu di institusi polri",positif
RT please stop kriminalisasihanifahhusein jahat banget loh ,positif
"Trending Indonesia - 13/12/2022 10:20 WIB
1. SafeFlightOurAstronaut
2. UntilWeMeetAgainJin
3. kriminalisasihanifahhusein
5. WeLoveYouJin
6. HUANG RENJUN THANK YOU
7. Keramas
8. Loyal
9. Independent
10. Selasa",netral
"Cacat Hukum! Nih salah satu contoh oknum, oknum yg kalo dikumpulin bisa satu kecamatan!",negatif
Bongkar tikus tikus jahat pelaku kriminalisasi Hanifah Husein,positif
"Hanifah Husein
masih ada penyidik yang suka cari kesalahan dan bukti nyata kriminalisasi Hanifah Husein",positif
usut tuntas dong kriminalisasi Hanifah Husein masih ada 'sambo' kedua nih,positif
"Tips mengubah warna font di GB WhatsApp agar terlihat menarik, selengkapnya di sini",positif
"RT Tindak tegas siapapun itu dalam tindakan diskriminasi, sekalipun itu di institusi polri",positif
"Ceeek berita ini, fakta kriminalisasi Hanifah Husein",negatif
"Jahat bener ni ada yang tiba tiba hadir mau ambil haknya orang lain, usut sampai akar nya yg sudah",positif
"Semog kasusnya cepa tuntas, dab dapet keadilan",positif
"Pleasee lahh Pak Jokowi, Pak Listyo Sigit, ternyata masih ada Sambo kedua di Bareskrim Polri",positif
Ini emng harus di usut tuntas sih! Bongkar kasus kriminalisasi Hanifah Husein,positif
Gaskeun yukk Usut tuntas dalang kriminalisasi Hanifah Husein,positif
Yukkk kitaa Bongkar tikus tikus jahat pelaku kriminalisasi Hanifah Husein,positif
"Sedih bgt kalo baca kasus ini, oknum penyidik bisa2nya kriminalisasi. Udah ada bukti tapi gak diterima!",positif
"Miriss banget sama kasus inii, investor malah dikriminalisasi",positif
harusnya tidak terjadi nih di tubuh Bareskrim Polri yang tengah menggencarkan Polri Presisi.,positif
"Wah ada kasus kayak gini yah,  harus diusut tuntas dalangnya",positif
"Ya ampun beneran ternyata, yuk stop kriminalisasi Hanifah Husein",positif
kronologi nya kriminalisasihanifahhusein gimana nih,positif
"RT  kurang ajar masih aja suka cari kesalahan, bukti nyata kriminalisasi Hanifah Husein ",negatif
"RT  tegakkan hukum seadil-adilnya, jangan ada permainan hukum. stop kriminalisasi Hanifah Husein",positif
Wahh masih ada yaa yang kriminalisasi di Bareskrim Polri yokklah usut sampai tuntas,positif
"Cek berita nihh soal, semoga Allah selalu menguatkan hati nyaa",negatif
"RT Tindak tegas siapapun itu dalam tindakan diskriminasi, sekalipun itu di institusi polri",positif
Mana nih anak anak hukum Harus liat baca kasus ini ,positif
Hmmm masih nyimak untuk tindakan mengatasi kriminalisasi Istri mendiang Ferry Mursyiddan Baldan ini agar tidak terus berlanjut,netral
Ini harus diselesaikan sih masalahnya,positif
Berani berani nya bongkar kasus kriminalisasi hanifah husein,positif
rame lagi nih berita,positif
"RT kurang ajar masih aja suka cari kesalahan, bukti nyata kriminalisasi Hanifah Husein ",negatif
RT Musti diusut tuntas pokoknya dalang dibalik kriminalisasi Hanifah Husein,positif
wah masih ada ajaa tentang kriminalisasi nih,positif
"RT tegakkan hukum seadil-adilnya, jangan ada permainan hukum. stop kriminalisasi Hanifah Husein",positif
waduh ternyata masih rame ya berita soal kriminalisasi ,positif
"RT Tindak tegas siapapun itu dalam tindakan diskriminasi, sekalipun itu di institusi polri ",positif
"RT kurang ajar masih aja suka cari kesalahan, bukti nyata kriminalisasi Hanifah Husein ",positif
"RT  tegakkan hukum seadil-adilnya, jangan ada permainan hukum. stop kriminalisasi Hanifah Husein",positif
"RT tegakkan hukum seadil-adilnya, jangan ada permainan hukum. stop kriminalisasi Hanifah Husein",positif
"Usut tuntas kriminalisasi Hanifah Husein, junjung tinggi keadilan dan kemanusiaan",positif
"RT Tindak tegas siapapun itu dalam tindakan diskriminasi, sekalipun itu di institusi polri",positif
"RT kurang ajar masih aja suka cari kesalahan, bukti nyata kriminalisasi Hanifah Husein ",positif
Selesaikan kasus kriminalisasi Hanifah Husein,positif
"jangan sampe kelewat nih yang satu ini, usut tuntas kasus",positif
"RT tegakkan hukum seadil-adilnya, jangan ada permainan hukum. stop kriminalisasi Hanifah Husein",positif
Wah ini oknum nya harus di cari deh pokoknya ,positif
"Mengapa harus ada kriminalisasi, semoga segera bisa diselesaikan",positif
Dugaan pihak ketiga sebagai dalang kriminalisasi,positif
Yuk stop kriminalisasi Istri mendiang Ferry Mursyiddan Baldan,positif
"RT tegakkan hukum seadil-adilnya, jangan ada permainan hukum. stop kriminalisasi Hanifah Husein!",positif
"harus, di usut tuntas orang-orang yang ada di balik kasus kriminalisasi Hanifa Husein",positif
Usut tuntas dalang dibalik kriminalisasi Hanifah Husein,positif
"RT Tindak tegas siapapun itu dalam tindakan diskriminasi, sekalipun itu di institusi polri",positif
Bongkar tuntas,positif
"Aduhh tolong dongg, mbok ya ini segera diusut
",positif
"RT Tindak tegas siapapun itu dalam tindakan diskriminasi, sekalipun itu di institusi polri ",negatif
"RT kurang ajar masih aja suka cari kesalahan, bukti nyata kriminalisasi Hanifah Husein ",negatif
Semoga bu Hanifah Husein diberikan ketabahan atas musibah ini. Duh beneran jahat banget ini,negatif
"RT Tindak tegas siapapun itu dalam tindakan diskriminasi, sekalipun itu di institusi polri",positif
Usut tuntas siapa tikus2 jahat yang kriminalisasi Hanifah husein,positif
Yukkk ahh kitaaa Bongkar kasus kriminalisasi Hanifah Husein,positif
"Usut tuntas kriminalisasi Hanifah Husein, junjung tinggi keadilan dan kemanusiaan!",positif
"Trending Indonesia 
1. SafeFlightOurAstronaut
2. UntilWeMeetAgainJin
3. kriminalisasihanifahhusein
5. WeLoveJin
6. The 10
7. Sanggup
8. HUANG RENJUN THANK YOU
9. Nahyan
10. Loyal",netral
"RT  kurang ajar masih aja suka cari kesalahan, bukti nyata kriminalisasi Hanifah Husein ",negatif
Bersama kita Bongkar tikus tikus jahat pelaku kriminalisasi Hanifah Husein ,positif
Harus diusut tuntas nih pelaku kriminalisasi ibu Hanifah Husein sampai ke akarnya,positif
"Sabar ya bu Hanifah Hussein, semoga saja segera ada titik terang atas kasus ini",positif
Tindakan polri cacat hukum sampai keterlibatan pihak ketiga kriminalisasi,negatif
Harus dibongkar ini mah. Wajib diusut tuntas. ,positif
RT Semoga ibunya diberi kekuatan untuk menjalani semuanya,positif
RT jahat bgt ga sihh kasus kriminalisasi ini ,positif
"RT kurang ajar masih aja suka cari kesalahan, bukti nyata kriminalisasi Hanifah Husein ",positif
Bongkar tikus tikus jahat pelaku kriminalisasi Hanifah Husein,positif
RT please stop kriminalisasihanifahhusein jahat banget loh ,positif
RT Netizen wajib tahu ternyata ada dugaan pihak ketiga dibalik kriminalisasi Hanifah Husein,positif
RT Netizen wajib tahu ternyata ada dugaan pihak ketiga dibalik kriminalisasi Hanifah Husein,positif
Bukti dugaan keterlibatan pihak ketiga yang ingin menguasai PT BLbyang notabene nya telah di selamatkan PT rubs dr kebangkrutan.,positif
ayo liat berita terbaru mengenai kriminalisasi hanifah husein jangan sampe kelewatan nih,positif
Gila banget Pokoknya harus diusut tuntas,positif
"RT tegakkan hukum seadil-adilnya, jangan ada permainan hukum. stop kriminalisasi Hanifah Husein",positif
Gila banget Pokoknya harus diusut tuntas,positif
"RT kurang ajar masih aja suka cari kesalahan, bukti nyata kriminalisasi Hanifah Husein 
",positif
"RT tegakkan hukum seadil-adilnya, jangan ada permainan hukum. stop kriminalisasi Hanifah Husein!",positif
"Coba dibaca dulu berita dibawah ini guys, klo udh tau kabarin aku ya wkwkkw",netral
Miris banget sih liatnya jaman sekarang ko masih ada ya kriminalisasi yu usut kasus nya sampai selesai. ,positif
Semoga keadilan segera ditegakkan. Aku kaget juga denger berita ini.,positif
"Kasian, sumpah tega dan jahat banget sih. Pak Jokowi, masih ada nih Kriminalisasi di Bareskrim Polri ",positif
Jahat banget Bu Hanifah di kriminalisasi,positif
Sumpah sedih banget baru tau kalo hu Hanifah  Husein d Kriminalisasi,positif
usut semua tikus-tikus jahat pelaku kriminalisasi Hanifa Husein,positif
"RT Tindak tegas siapapun itu dalam tindakan diskriminasi, sekalipun itu di institusi polri",positif
"RT Tindak tegas siapapun itu dalam tindakan diskriminasi, sekalipun itu di institusi polri",positif
Kasus hanifah husein sebaiknya dihentikan. Kalau gamau jadi preseden buruk bagi polri,positif
"RT Tindak tegas siapapun itu dalam tindakan diskriminasi, sekalipun itu di institusi polri",positif
"keadilan mana nih, cpeet usut tuntas kasus",positif
"RT  kurang ajar masih aja suka cari kesalahan, bukti nyata kriminalisasi Hanifah Husein ",positif
Dugaan pihak ketiga sebagai dalang kriminalisasi Hanifah Hussein,positif
Yuk bisa yukkk bongkar kasusnya kriminalisasi Hanifah husein,positif
Stop kriminalisasi terhadap Ibu Hanifah Husain. Semoga dalangnya segera terungkap,positif
Yang sabar yaa bu Hanifah Husein semoga ada karma buat yang jahat kriminalisasi ibu,positif
Korporasi Pihak ketiga di duga dalang Kriminalisasi Hanifah Husein ,positif
"RT kurang ajar masih aja suka cari kesalahan, bukti nyata kriminalisasi Hanifah Husein ",positif
Gimana yaa duh masih ada kriminalisasi di Bareskrim Polri nihh ,positif
"RT kurang ajar masih aja suka cari kesalahan, bukti nyata kriminalisasi Hanifah Husein ",positif
kenapa masih ada di indonesia ya Miris sekali ,positif
"Ih yaampun gak nyangka bgt, kasian Bu Hanifah Husein ",positif
"Ada penyidik suka cari kesalahan, bahkan sampai kriminalisasi Hanifah Husein. Cek beritanya disini ",positif
Tindakan polri cacat hukum sampajmeterlibatan pihak ketiga,negatif
Hanifah Husein merasa difitnah karena ada dugaan pihak ketiga ikut campur,negatif
Semoga ibunya diberi kekuatan untuk menjalani semuanya,positif
harus diusut tuntas sih biar bisa segera kelar dan kebenaran terungkap,positif
Diduga ada korporasi pihak ketiga bersama PT BL dan oknum penyidim dalam,negatif
Ini harus cepat di usut dengan benar dan jangan sampai berlarut larut masalahnya dan pelakunya harus di beri hukuman yang setimpal,positif
